indicator,group,state,subgroup,phase,time_period,time_period_label,time_period_start_date,time_period_end_date,value,lowci,highci,confidence_interval,quartile_range,age
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,13,Aug 19 - Aug 31,2020-08-19T00:00:00.000,2020-08-31T00:00:00.000,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,23.5,20.8,26.5,20.8 - 26.5,21.6-24.0,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,32.3,29.4,35.4,29.4 - 35.4,31.6-33.9,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,36.2,32.9,39.7,32.9 - 39.7,33.4-36.2,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,23.3,19.8,27.1,19.8 - 27.1,22.5-24.4,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,30.7,27.3,34.2,27.3 - 34.2,29.5-31.7,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,35.2,31.4,39.1,31.4 - 39.1,34.4-36.6,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,27,23.6,30.7,23.6 - 30.7,25.3-27.3,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,34.3,30.5,38.3,30.5 - 38.3,32.6-34.8,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,38.9,35.1,42.8,35.1 - 42.8,37.2-39.6,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,22,19,25.2,19.0 - 25.2,17.0-24.4,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,33,29.1,37,29.1 - 37.0,22.3-34.7,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,36.5,32.5,40.6,32.5 - 40.6,25.5-38.8,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,25.1,21.7,28.7,21.7 - 28.7,21.6-26.2,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,36.6,32.7,40.7,32.7 - 40.7,36.4-38.4,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,41.7,38,45.5,38.0 - 45.5,41.6-44.3,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,23.3,20.2,26.7,20.2 - 26.7,20.2-26.5,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,35.3,31.4,39.3,31.4 - 39.3,34.1-36.0,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,38.9,34.9,43,34.9 - 43.0,32.4-39.2,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,30.2,26.7,34,26.7 - 34.0,29.7-32.3,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,33.3,29.6,37.1,29.6 - 37.1,27.4-34.2,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,40.7,36.6,44.9,36.6 - 44.9,39.8-41.1,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,25,21.1,29.2,21.1 - 29.2,21.3-26.0,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,33.8,30.2,37.6,30.2 - 37.6,33.8-34.8,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,40.2,35.9,44.7,35.9 - 44.7,38.5-40.4,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,25.1,21.5,29,21.5 - 29.0,15.3-25.1,50 - 59 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,32.3,28.7,36,28.7 - 36.0,23.8-32.3,50 - 59 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,35.8,32,39.7,32.0 - 39.7,28.8-37.6,50 - 59 years
Symptoms of Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,23.8,20,28,20.0 - 28.0,23.3-25.6,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,23.7,20,27.8,20.0 - 27.8,23.0-25.8,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,28.5,24,33.2,24.0 - 33.2,27.3-30.3,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,38.6,33.2,44.2,33.2 - 44.2,37.7-40.7,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,23.4,19.6,27.5,19.6 - 27.5,21.8-23.9,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,28.7,24.3,33.3,24.3 - 33.3,27.4-30.5,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,32.9,28.1,37.8,28.1 - 37.8,32.3-34.9,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,8,June 18 - June 23,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,24.2,20.8,27.9,20.8 - 27.9,22.5-25.0,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,8,June 18 - June 23,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,26.9,23.6,30.5,23.6 - 30.5,21.3-27.7,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,8,June 18 - June 23,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,32.9,29.4,36.7,29.4 - 36.7,31.8-34.4,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,9,June 25 - June 30,2020-06-25T00:00:00.000,2020-06-30T00:00:00.000,23.9,20.6,27.4,20.6 - 27.4,23.9-26.0,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,9,June 25 - June 30,2020-06-25T00:00:00.000,2020-06-30T00:00:00.000,30.6,27,34.4,27.0 - 34.4,29.5-32.2,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,9,June 25 - June 30,2020-06-25T00:00:00.000,2020-06-30T00:00:00.000,34.3,30.5,38.3,30.5 - 38.3,34.1-35.9,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,10,July 2 - July 7,2020-07-02T00:00:00.000,2020-07-07T00:00:00.000,28.5,25,32.1,25.0 - 32.1,26.8-29.3,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,10,July 2 - July 7,2020-07-02T00:00:00.000,2020-07-07T00:00:00.000,34.7,30.4,39.2,30.4 - 39.2,33.0-35.3,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,10,July 2 - July 7,2020-07-02T00:00:00.000,2020-07-07T00:00:00.000,39.7,35.4,44,35.4 - 44.0,38.1-40.6,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,11,July 9 - July 14,2020-07-09T00:00:00.000,2020-07-14T00:00:00.000,25,21.1,29.1,21.1 - 29.1,24.1-27.2,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,11,July 9 - July 14,2020-07-09T00:00:00.000,2020-07-14T00:00:00.000,34.2,29.2,39.6,29.2 - 39.6,31.1-34.2,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,11,July 9 - July 14,2020-07-09T00:00:00.000,2020-07-14T00:00:00.000,38.3,33.4,43.5,33.4 - 43.5,34.8-38.3,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,12,July 16 - July 21,2020-07-16T00:00:00.000,2020-07-21T00:00:00.000,29.3,25.1,33.8,25.1 - 33.8,26.0-29.3,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,12,July 16 - July 21,2020-07-16T00:00:00.000,2020-07-21T00:00:00.000,36.2,31.6,41.1,31.6 - 41.1,35.6-38.4,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,12,July 16 - July 21,2020-07-16T00:00:00.000,2020-07-21T00:00:00.000,41.1,36,46.4,36.0 - 46.4,40.6-43.5,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,2,13,Aug 19 - Aug 31,2020-08-19T00:00:00.000,2020-08-31T00:00:00.000,22.5,19.7,25.4,19.7 - 25.4,21.0-23.8,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,13,Aug 19 - Aug 31,2020-08-19T00:00:00.000,2020-08-31T00:00:00.000,29.9,26.9,33.1,26.9 - 33.1,28.5-30.6,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,13,Aug 19 - Aug 31,2020-08-19T00:00:00.000,2020-08-31T00:00:00.000,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,14,Sep 2 - Sep 14,2020-09-02T00:00:00.000,2020-09-14T00:00:00.000,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,23.5,20.8,26.5,20.8 - 26.5,21.6-24.0,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,32.3,29.4,35.4,29.4 - 35.4,31.6-33.9,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,15,Sep 16 - Sep 28,2020-09-16T00:00:00.000,2020-09-28T00:00:00.000,36.2,32.9,39.7,32.9 - 39.7,33.4-36.2,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,23.3,19.8,27.1,19.8 - 27.1,22.5-24.4,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,30.7,27.3,34.2,27.3 - 34.2,29.5-31.7,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,16,Sep 30 - Oct 12,2020-09-30T00:00:00.000,2020-10-12T00:00:00.000,35.2,31.4,39.1,31.4 - 39.1,34.4-36.6,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,27,23.6,30.7,23.6 - 30.7,25.3-27.3,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,34.3,30.5,38.3,30.5 - 38.3,32.6-34.8,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,17,Oct 14 - Oct 26,2020-10-14T00:00:00.000,2020-10-26T00:00:00.000,38.9,35.1,42.8,35.1 - 42.8,37.2-39.6,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,22,19,25.2,19.0 - 25.2,17.0-24.4,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,33,29.1,37,29.1 - 37.0,22.3-34.7,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),18,Oct 28 - Nov 9,2020-10-28T00:00:00.000,2020-11-09T00:00:00.000,36.5,32.5,40.6,32.5 - 40.6,25.5-38.8,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,25.1,21.7,28.7,21.7 - 28.7,21.6-26.2,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,36.6,32.7,40.7,32.7 - 40.7,36.4-38.4,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),19,Nov 11 - Nov 23,2020-11-11T00:00:00.000,2020-11-23T00:00:00.000,41.7,38,45.5,38.0 - 45.5,41.6-44.3,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,23.3,20.2,26.7,20.2 - 26.7,20.2-26.5,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,35.3,31.4,39.3,31.4 - 39.3,34.1-36.0,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),20,Nov 25 - Dec 7,2020-11-25T00:00:00.000,2020-12-07T00:00:00.000,38.9,34.9,43,34.9 - 43.0,32.4-39.2,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,30.2,26.7,34,26.7 - 34.0,29.7-32.3,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,33.3,29.6,37.1,29.6 - 37.1,27.4-34.2,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Oct 28 � Dec 21),21,Dec 9 - Dec 21,2020-12-09T00:00:00.000,2020-12-21T00:00:00.000,40.7,36.6,44.9,36.6 - 44.9,39.8-41.1,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,25,21.1,29.2,21.1 - 29.2,21.3-26.0,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,33.8,30.2,37.6,30.2 - 37.6,33.8-34.8,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),22,Jan 6 - Jan 18,2021-01-06T00:00:00.000,2021-01-18T00:00:00.000,40.2,35.9,44.7,35.9 - 44.7,38.5-40.4,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,25.1,21.5,29,21.5 - 29.0,15.3-25.1,60 - 69 years
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,32.3,28.7,36,28.7 - 36.0,23.8-32.3,60 - 69 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Jan 6 � Feb 1),23,Jan 20 - Feb 1,2021-01-20T00:00:00.000,2021-02-01T00:00:00.000,35.8,32,39.7,32.0 - 39.7,28.8-37.6,60 - 69 years
Symptoms of Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00.000,2020-05-05T00:00:00.000,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,2,May 7 - May 12,2020-05-07T00:00:00.000,2020-05-12T00:00:00.000,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,23.8,20,28,20.0 - 28.0,23.3-25.6,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,3,May 14 - May 19,2020-05-14T00:00:00.000,2020-05-19T00:00:00.000,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,23.7,20,27.8,20.0 - 27.8,23.0-25.8,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,2020-05-21T00:00:00.000,2020-05-26T00:00:00.000,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,2020-05-28T00:00:00.000,2020-06-02T00:00:00.000,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,28.5,24,33.2,24.0 - 33.2,27.3-30.3,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,6,June 4 - June 9,2020-06-04T00:00:00.000,2020-06-09T00:00:00.000,38.6,33.2,44.2,33.2 - 44.2,37.7-40.7,70 - 79 years
Symptoms of Depressive Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,23.4,19.6,27.5,19.6 - 27.5,21.8-23.9,70 - 79 years
Symptoms of Anxiety Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,28.7,24.3,33.3,24.3 - 33.3,27.4-30.5,70 - 79 years
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,7,June 11 - June 16,2020-06-11T00:00:00.000,2020-06-16T00:00:00.000,32.9,28.1,37.8,28.1 - 37.8,32.3-34.9,70 - 79 years
